	col0_1	col0_2	col0_3	ring1ab_1	ring1ab_2	ring1ab_3	emf1_1	emf1_2	emf1_3	clfswn_1	clfswn_2	clfswn_3
AT1G01010	6.282225	6.60057	6.857564	6.476294	7.840884	7.795265	17.954405	18.03883	16.540512	13.659479	12.64992	10.072598
AT1G01020	4.5416703151071	4.08255848308906	4.21653258962796	4.19148441375423	4.3294106843292	3.40120725760992	1.33499617981962	1.14213730383315	1.69423333089064	3.5743796583991	3.03204251014656	2.8113380794814
AT1G01030	3.433585	4.004569	3.897475	3.096696	2.319811	2.381502	4.968333	5.603924	4.425573	7.75153	7.597085	7.190588
AT1G01040	9.32308993428206	10.5301814550688	10.8839588648865	9.00339474704189	9.15115417540774	8.72646932011513	14.6154900997761	15.197442990566	14.8926890284618	9.43419119283658	10.1041162670291	9.11964670978574
AT1G01046	4.553495	2.981933	2.230333	1.65479	2.069048	0.888539	2.943156	4.417656	2.386592	2.916022	1.893257	2.104595
AT1G01050	49.046631	54.94936	59.227242	48.265137	50.133625	47.943531	63.916397	62.161392	62.001091	47.594288	48.124561	50.470478
AT1G01060	0.299374413729128	0.358689285714286	0.458831743351886	0.567797155844156	1.08336701824366	0.445323000309215	1.77375447155226	2.57221791991342	1.88638833364255	12.6078287646877	14.0661825810142	13.4718267455164
AT1G01070	3.86815507241379	4.7262681062069	5.92740647310345	2.9558682	5.19500983103448	4.37933570482759	6.23068632137931	6.59790240551724	6.40581595103448	4.38679970275862	4.17670142	5.13171041103448
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	56.293663505295	56.2364404341906	56.9481283335855	42.9714522193646	40.5898343721634	37.1929930385779	34.200629381997	30.4053210937973	32.0538686633888	24.866851892587	23.221086371407	25.4492811732224
AT1G01090	158.760025	151.938019	159.76268	196.130432	186.260696	167.281921	91.024452	82.796638	89.685738	162.131378	146.876526	153.621323
AT1G01100	58.2072760324006	55.1517856789396	90.7667197378498	44.7151513829161	45.9787294845361	52.8080323490427	124.376159337261	83.091871736377	62.518266544919	116.35469216053	117.070955240059	112.400727714286
AT1G01110	3.79017848514317	4.41082448082118	4.76202151269584	6.20692214424635	5.63373486061588	5.88808082441923	2.12030046569422	1.11859150675311	1.4328527628309	5.64587224095084	4.81630573689897	5.11852286331713
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0
